V1,V2
aten_0.1.m1.1.m1,-2.17485523922277
aten_0.1.m1.10000.m1,-2.33699529025038
aten_0.1.m1.10002.m1,2.04798827086598
aten_0.1.m1.10008.m1,1.51230074946233
aten_0.1.m1.10009.m1,-1.70101329783612
aten_0.1.m1.10011.m1,2.47803095652107
aten_0.1.m1.10015.m1,3.7063456729208
aten_0.1.m1.10016.m1,2.27577592693825
aten_0.1.m1.10017.m1,1.98231064815724
aten_0.1.m1.1002.m1,-3.67981978660644
aten_0.1.m1.10022.m1,2.92532972159924
aten_0.1.m1.10028.m1,1.98679410675992
aten_0.1.m1.1003.m1,-1.03550115173955
aten_0.1.m1.10031.m1,-1.05016800102737
aten_0.1.m1.10034.m1,1.89873750145716
aten_0.1.m1.10035.m1,2.59474343888032
aten_0.1.m1.1004.m1,4.24779217547253
aten_0.1.m1.10045.m1,-1.04478210341972
aten_0.1.m1.1005.m1,0.877735897343152
aten_0.1.m1.10060.m1,1.87986005852598
aten_0.1.m1.10061.m1,1.29886362883179
aten_0.1.m1.10062.m1,-0.825404464337439
aten_0.1.m1.10063.m1,-2.26719542947877
aten_0.1.m1.10065.m1,-1.58921891749273
aten_0.1.m1.10066.m1,-3.34560979430083
aten_0.1.m1.10067.m1,2.99208972008522
aten_0.1.m1.10068.m1,1.33399288166728
aten_0.1.m1.1007.m1,-1.42785411784234
aten_0.1.m1.10070.m1,3.0802174190312
aten_0.1.m1.10071.m1,2.84953013876201
aten_0.1.m1.10078.m1,1.62360515315172
aten_0.1.m1.10079.m1,0.776655681670648
aten_0.1.m1.10088.m1,2.30837966485728
aten_0.1.m1.10089.m1,1.73895222942381
aten_0.1.m1.1009.m1,-2.14642859357518
aten_0.1.m1.10092.m1,1.0536195637475
aten_0.1.m1.10094.m1,0.78322130085772
aten_0.1.m1.10096.m1,1.78837314210432
aten_0.1.m1.10098.m1,1.96509946770073
aten_0.1.m1.10099.m1,3.66105080234944
aten_0.1.m1.1010.m1,-1.59531203909906
aten_0.1.m1.10101.m1,2.57868757349436
aten_0.1.m1.10103.m1,1.90437395651891
aten_0.1.m1.10108.m1,-1.97028013830537
aten_0.1.m1.10110.m1,1.45848057016596
aten_0.1.m1.10125.m1,-2.17566659209879
aten_0.1.m1.1013.m1,-2.27588065902618
aten_0.1.m1.10130.m1,1.76063251764442
aten_0.1.m1.10137.m1,2.11734200982895
aten_0.1.m1.10138.m1,-1.78726327468208
aten_0.1.m1.1014.m1,-4.12035995751856
aten_0.1.m1.10141.m1,2.43301676996459
aten_0.1.m1.10142.m1,2.31597956719508
aten_0.1.m1.10145.m1,2.79254967745222
aten_0.1.m1.10147.m1,1.241186232802
aten_0.1.m1.10148.m1,3.67289123338196
aten_0.1.m1.10153.m1,1.30275295994445
aten_0.1.m1.10155.m1,-1.55430892240877
aten_0.1.m1.10162.m1,-1.61958879819089
aten_0.1.m1.10164.m1,-3.5887750590899
aten_0.1.m1.10165.m1,-1.54560284130588
aten_0.1.m1.10168.m1,-3.70375933463549
aten_0.1.m1.1017.m1,-1.81749726321268
aten_0.1.m1.10174.m1,2.5077469086454
aten_0.1.m1.10176.m1,-2.7613027332861
aten_0.1.m1.10178.m1,1.75171439420687
aten_0.1.m1.10184.m1,-3.29899354472003
aten_0.1.m1.10185.m1,3.399982317766
aten_0.1.m1.10187.m1,1.68014592324858
aten_0.1.m1.10200.m1,-1.02659529689018
aten_0.1.m1.10201.m1,2.74162411905279
aten_0.1.m1.10202.m1,2.4639635907119
aten_0.1.m1.10205.m1,3.18805618936285
aten_0.1.m1.10208.m1,-1.11041459009613
aten_0.1.m1.10209.m1,1.22872564685591
aten_0.1.m1.10211.m1,-0.927710879391144
aten_0.1.m1.1022.m1,0.883411401486049
aten_0.1.m1.10221.m1,1.95379003109965
aten_0.1.m1.10222.m1,1.88267489964223
aten_0.1.m1.10223.m1,3.64706928884069
aten_0.1.m1.10228.m1,3.07579054503195
aten_0.1.m1.10229.m1,4.79703167687272
aten_0.1.m1.10232.m1,2.33070348152492
aten_0.1.m1.10235.m1,-2.18512692370485
aten_0.1.m1.10237.m1,-2.58797260379944
aten_0.1.m1.1024.m1,-1.57090283532288
aten_0.1.m1.10246.m1,-1.95022721678183
aten_0.1.m1.10251.m1,-1.62823252200461
aten_0.1.m1.10255.m1,-2.25970183373162
aten_0.1.m1.10283.m1,1.79655539649174
aten_0.1.m1.10292.m1,1.02419489140474
aten_0.1.m1.10293.m1,-2.07353507506795
aten_0.1.m1.10294.m1,1.18992745575727
aten_0.1.m1.10300.m1,-6.21651927231234
aten_0.1.m1.10301.m1,-1.97654741648998
aten_0.1.m1.10302.m1,-2.45035912204426
aten_0.1.m1.10304.m1,-4.20938824590514
aten_0.1.m1.10305.m1,4.31193439324883
aten_0.1.m1.10306.m1,5.15813616434655
aten_0.1.m1.10307.m1,-1.45766964571928
aten_0.1.m1.10308.m1,1.10449196977025
aten_0.1.m1.10317.m1,-2.3590519385398
aten_0.1.m1.1034.m1,1.03999204143287
aten_0.1.m1.1035.m1,-1.38671609548245
aten_0.1.m1.10353.m1,-3.7792555753322
aten_0.1.m1.10355.m1,-1.40002120530573
aten_0.1.m1.10371.m1,1.9893692995513
aten_0.1.m1.10389.m1,1.00140944987083
aten_0.1.m1.1039.m1,-1.13816879101421
aten_0.1.m1.1041.m1,-1.24607808601223
aten_0.1.m1.10421.m1,-0.932835286276968
aten_0.1.m1.10431.m1,-2.31123090474051
aten_0.1.m1.10435.m1,1.57890121439736
aten_0.1.m1.10437.m1,-3.49866330477048
aten_0.1.m1.10438.m1,2.77117413986769
aten_0.1.m1.1044.m1,3.56668743723894
aten_0.1.m1.10440.m1,-1.07422106794958
aten_0.1.m1.10443.m1,1.51384569978455
aten_0.1.m1.10449.m1,-1.52981500889749
aten_0.1.m1.10463.m1,-0.731188404316451
aten_0.1.m1.10468.m1,0.708636081559168
aten_0.1.m1.10469.m1,-1.75744422701071
aten_0.1.m1.1047.m1,2.58314079804552
aten_0.1.m1.10472.m1,-1.09390088339332
aten_0.1.m1.10474.m1,-2.54346458347686
aten_0.1.m1.10476.m1,-1.95644526244795
aten_0.1.m1.10477.m1,2.01220090204672
aten_0.1.m1.10478.m1,-1.98522934606808
aten_0.1.m1.10482.m1,-1.41872848682318
aten_0.1.m1.10485.m1,3.82670172629382
aten_0.1.m1.10487.m1,1.35628556396715
aten_0.1.m1.10490.m1,-1.28432459227785
aten_0.1.m1.10491.m1,-1.4446813812879
aten_0.1.m1.10493.m1,1.59892035009371
aten_0.1.m1.10498.m1,2.0992016335321
aten_0.1.m1.10505.m1,-1.91952958507174
aten_0.1.m1.1051.m1,2.54889101946178
aten_0.1.m1.10511.m1,1.52595104427046
aten_0.1.m1.10513.m1,1.77046587519444
aten_0.1.m1.10519.m1,1.25326752535943
aten_0.1.m1.10520.m1,-2.47556392550261
aten_0.1.m1.10527.m1,-5.12369957184074
aten_0.1.m1.10528.m1,-1.50564662367031
aten_0.1.m1.10532.m1,-1.07035846911338
aten_0.1.m1.10534.m1,-2.54255000155203
aten_0.1.m1.10535.m1,-1.91760177949429
aten_0.1.m1.10536.m1,-2.11713165776621
aten_0.1.m1.10537.m1,-1.7901987237344
aten_0.1.m1.10538.m1,-1.87152748494276
aten_0.1.m1.10546.m1,1.5665987319896
aten_0.1.m1.10555.m1,-4.08323110236391
aten_0.1.m1.10557.m1,4.16430121694718
aten_0.1.m1.10560.m1,3.18536159213641
aten_0.1.m1.10562.m1,-2.00122953414512
aten_0.1.m1.10563.m1,1.56225643323502
aten_0.1.m1.10564.m1,1.20321028361572
aten_0.1.m1.10567.m1,1.46846026550728
aten_0.1.m1.10568.m1,2.05798507452355
aten_0.1.m1.10572.m1,-1.42776832142638
aten_0.1.m1.10580.m1,-2.20515097709125
aten_0.1.m1.10581.m1,-1.8286698663995
aten_0.1.m1.10582.m1,-1.81704230609443
aten_0.1.m1.10593.m1,-1.85388718148493
aten_0.1.m1.10597.m1,-3.05152588239674
aten_0.1.m1.10604.m1,-1.84202832003943
aten_0.1.m1.10614.m1,3.26564614045485
aten_0.1.m1.10615.m1,-2.49060985894121
aten_0.1.m1.10623.m1,3.14229448047743
aten_0.1.m1.10624.m1,1.49973173853045
aten_0.1.m1.10626.m1,1.15195014278308
aten_0.1.m1.10628.m1,1.44115640060586
aten_0.1.m1.10652.m1,-2.85791802600108
aten_0.1.m1.10653.m1,1.41637061084696
aten_0.1.m1.10660.m1,-4.17064399069445
aten_0.1.m1.10664.m1,-2.1782933782121
aten_0.1.m1.10665.m1,1.00342328979847
aten_0.1.m1.10671.m1,0.888115600914695
aten_0.1.m1.10673.m1,-2.32774317888599
aten_0.1.m1.10676.m1,1.47296065761353
aten_0.1.m1.10684.m1,-1.87854225723497
aten_0.1.m1.10685.m1,-1.02841559082965
aten_0.1.m1.10688.m1,-1.13041476520285
aten_0.1.m1.1069.m1,1.22847172611239
aten_0.1.m1.10692.m1,1.39625875668311
aten_0.1.m1.10695.m1,1.58291299930781
aten_0.1.m1.10698.m1,-3.15366051671482
aten_0.1.m1.1070.m1,-3.5578695037055
aten_0.1.m1.10702.m1,2.95807339025671
aten_0.1.m1.10703.m1,1.18338640049154
aten_0.1.m1.10707.m1,2.02522937864251
aten_0.1.m1.10710.m1,-2.09232022235621
