V1,signif
aten_0.1.m1.10528.m1,1
aten_0.1.m1.10532.m1,1
aten_0.1.m1.10534.m1,1
aten_0.1.m1.10535.m1,1
aten_0.1.m1.10536.m1,1
aten_0.1.m1.10537.m1,1
aten_0.1.m1.10538.m1,1
aten_0.1.m1.10544.m1,1
aten_0.1.m1.10546.m1,1
aten_0.1.m1.10547.m1,1
aten_0.1.m1.10555.m1,1
aten_0.1.m1.10557.m1,1
aten_0.1.m1.10559.m1,1
aten_0.1.m1.10560.m1,1
aten_0.1.m1.10562.m1,1
aten_0.1.m1.10563.m1,1
aten_0.1.m1.10564.m1,1
aten_0.1.m1.10566.m1,1
aten_0.1.m1.10567.m1,1
aten_0.1.m1.10568.m1,1
aten_0.1.m1.10571.m1,1
aten_0.1.m1.10572.m1,1
aten_0.1.m1.10580.m1,1
aten_0.1.m1.10581.m1,1
aten_0.1.m1.10582.m1,1
aten_0.1.m1.10593.m1,1
aten_0.1.m1.10594.m1,1
aten_0.1.m1.10597.m1,1
aten_0.1.m1.10603.m1,1
aten_0.1.m1.10604.m1,1
aten_0.1.m1.10615.m1,1
aten_0.1.m1.10621.m1,1
aten_0.1.m1.10622.m1,1
aten_0.1.m1.10623.m1,1
aten_0.1.m1.10624.m1,1
aten_0.1.m1.10626.m1,1
aten_0.1.m1.10627.m1,1
aten_0.1.m1.10628.m1,1
aten_0.1.m1.10644.m1,1
aten_0.1.m1.10645.m1,1
aten_0.1.m1.10646.m1,1
aten_0.1.m1.10649.m1,1
aten_0.1.m1.10653.m1,1
aten_0.1.m1.10660.m1,1
aten_0.1.m1.10661.m1,1
aten_0.1.m1.10664.m1,1
aten_0.1.m1.10665.m1,1
aten_0.1.m1.10670.m1,1
aten_0.1.m1.10671.m1,1
aten_0.1.m1.10676.m1,1
aten_0.1.m1.10677.m1,1
aten_0.1.m1.10684.m1,1
aten_0.1.m1.10685.m1,1
aten_0.1.m1.10688.m1,1
aten_0.1.m1.1069.m1,1
aten_0.1.m1.10692.m1,1
aten_0.1.m1.10695.m1,1
aten_0.1.m1.10698.m1,1
aten_0.1.m1.1070.m1,1
aten_0.1.m1.10702.m1,1
aten_0.1.m1.10703.m1,1
aten_0.1.m1.10707.m1,1
aten_0.1.m1.10709.m1,1
aten_0.1.m1.10710.m1,1
aten_0.1.m1.1072.m1,1
aten_0.1.m1.10723.m1,1
aten_0.1.m1.10733.m1,1
aten_0.1.m1.10739.m1,1
aten_0.1.m1.10741.m1,1
aten_0.1.m1.10745.m1,1
aten_0.1.m1.10747.m1,1
aten_0.1.m1.10749.m1,1
aten_0.1.m1.10750.m1,1
aten_0.1.m1.10797.m1,1
aten_0.1.m1.10800.m1,1
aten_0.1.m1.10801.m1,1
aten_0.1.m1.10804.m1,1
aten_0.1.m1.10805.m1,1
aten_0.1.m1.10807.m1,1
aten_0.1.m1.10810.m1,1
aten_0.1.m1.10811.m1,1
aten_0.1.m1.10812.m1,1
aten_0.1.m1.10814.m1,1
aten_0.1.m1.10817.m1,1
aten_0.1.m1.10818.m1,1
aten_0.1.m1.10820.m1,1
aten_0.1.m1.10821.m1,1
aten_0.1.m1.10826.m1,1
aten_0.1.m1.10828.m1,1
aten_0.1.m1.1083.m1,1
aten_0.1.m1.10831.m1,1
aten_0.1.m1.10832.m1,1
aten_0.1.m1.10837.m1,1
aten_0.1.m1.10843.m1,1
aten_0.1.m1.10844.m1,1
aten_0.1.m1.10845.m1,1
aten_0.1.m1.1085.m1,1
aten_0.1.m1.10851.m1,1
aten_0.1.m1.10852.m1,1
aten_0.1.m1.10854.m1,1
aten_0.1.m1.10856.m1,1
aten_0.1.m1.10858.m1,1
aten_0.1.m1.10859.m1,1
aten_0.1.m1.10862.m1,1
aten_0.1.m1.10863.m1,1
aten_0.1.m1.1087.m1,1
aten_0.1.m1.1088.m1,1
aten_0.1.m1.10884.m1,1
aten_0.1.m1.10890.m1,1
aten_0.1.m1.10891.m1,1
aten_0.1.m1.10892.m1,1
aten_0.1.m1.10894.m1,1
aten_0.1.m1.10895.m1,1
aten_0.1.m1.10897.m1,1
aten_0.1.m1.10898.m1,1
aten_0.1.m1.10900.m1,1
aten_0.1.m1.10901.m1,1
aten_0.1.m1.10902.m1,1
aten_0.1.m1.10903.m1,1
aten_0.1.m1.10906.m1,1
aten_0.1.m1.10907.m1,1
aten_0.1.m1.10909.m1,1
aten_0.1.m1.1091.m1,1
aten_0.1.m1.10911.m1,1
aten_0.1.m1.10913.m1,1
aten_0.1.m1.10922.m1,1
aten_0.1.m1.10931.m1,1
aten_0.1.m1.10932.m1,1
aten_0.1.m1.10933.m1,1
aten_0.1.m1.10934.m1,1
aten_0.1.m1.10935.m1,1
aten_0.1.m1.10936.m1,1
aten_0.1.m1.1094.m1,1
aten_0.1.m1.10944.m1,1
aten_0.1.m1.10947.m1,1
aten_0.1.m1.10948.m1,1
aten_0.1.m1.1096.m1,1
aten_0.1.m1.10964.m1,1
