gene	CoPt_E_rep1	CoPt_H_rep1	CoPt_E_rep2	CoPt_H_rep2	CoPt_E_rep3	CoPt_H_rep3	CoPt_E_rep4	CoPt_H_rep4	Falu_E_rep1	Falu_H_rep1	Falu_E_rep3	Falu_E_rep4	Falu_H_rep4	Falu_E_rep6	Falu_H_rep6	Ftele_H_rep1	Ftele_E_rep3	Ftele_H_rep3	Ftele_E_rep5	Ftele_H_rep5	Ftele_E_rep6	Ftele_H_rep6
aten_0.1.m1.24706.m1	7.77	16.07	21.66	3.58	22.49	21.81	10.14	133.66	16.02	30.59	50.57	12.72	5.69	21.88	27.28	4.33	31.31	12.94	7.23	21.70	8.96	33.46
aten_0.1.m1.4663.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.50	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.20145.m1	120.00	111.00	166.00	76.00	253.00	335.00	276.00	75.00	172.00	38.00	183.00	232.00	110.00	180.00	130.00	17.00	112.00	27.00	127.00	207.00	99.00	81.00
aten_0.1.m1.33727.m1	7.00	1.00	3.00	0.00	4.20	1.00	3.00	1.00	2.00	1.00	0.00	6.00	0.00	7.00	0.00	0.00	3.00	0.00	2.00	4.00	0.00	3.00
aten_0.1.m1.19464.m1	224.22	390.40	303.59	206.34	317.99	514.60	328.98	124.64	195.57	281.69	144.54	256.47	173.39	177.27	371.59	220.17	136.59	92.81	149.11	139.45	88.99	106.51
aten_0.1.m1.4305.m1	111.00	31.00	272.00	20.00	114.00	28.00	171.01	15.00	68.00	5.00	198.00	117.00	17.00	92.00	6.00	49.00	52.00	19.00	145.00	27.00	76.00	29.00
aten_0.1.m1.27514.m1	76.00	13.00	56.00	2.00	60.00	17.00	66.00	5.00	49.00	3.00	62.00	42.00	1.00	76.00	6.00	13.00	20.00	0.00	21.00	38.00	25.00	11.00
aten_0.1.m1.12677.m1	913.47	703.29	371.71	9.00	32.00	80.98	1271.12	13.00	52.03	14.00	121.90	479.07	20.00	257.97	68.00	11.93	136.79	50.81	284.52	31.00	334.89	61.00
aten_0.1.m1.2924.m1	0.00	0.00	2.00	0.00	3.00	0.00	1.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.6548.m1	0.00	2.00	2.00	1.00	2.00	3.00	0.00	0.00	0.00	3.00	2.00	2.00	4.00	0.00	2.00	0.00	1.00	0.00	4.00	0.00	4.00	1.00
aten_0.1.m1.1633.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.31895.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.33115.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.5903.m1	6776.00	5200.00	5154.00	1955.00	7629.00	5488.00	8285.00	2765.00	4641.00	2504.00	7051.00	4267.00	2904.00	5005.00	3403.00	3054.00	3628.00	2783.00	6211.00	2466.00	5154.00	2892.00
aten_0.1.m1.34989.m1	58.00	5.00	95.00	7.00	106.00	23.00	80.00	2.00	48.00	2.00	28.00	59.00	7.00	34.00	9.00	11.00	27.00	2.00	14.00	1.00	14.00	1.00
