gene	CoPt_E_rep1	CoPt_H_rep1	CoPt_E_rep2	CoPt_H_rep2	CoPt_E_rep3	CoPt_H_rep3	CoPt_E_rep4	CoPt_H_rep4	Falu_E_rep1	Falu_H_rep1	Falu_E_rep3	Falu_E_rep4	Falu_H_rep4	Falu_E_rep6	Falu_H_rep6	Ftele_H_rep1	Ftele_E_rep3	Ftele_H_rep3	Ftele_E_rep5	Ftele_H_rep5	Ftele_E_rep6	Ftele_H_rep6
aten_0.1.m1.36596.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.24696.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.27602.m1	1062.19	48.63	655.02	4.63	25.69	37.79	3495.87	56.30	159.49	9.01	217.58	111.13	32.66	393.46	33.14	19.97	248.46	68.77	1635.28	27.87	1217.17	24.96
aten_0.1.m1.26980.m1	70.00	23.00	84.00	5.00	82.00	49.00	54.00	6.00	49.00	4.00	54.00	73.00	11.00	59.00	27.00	20.00	32.00	13.00	43.00	28.00	25.00	11.00
aten_0.1.m1.2621.m1	18.00	0.00	22.00	0.00	17.00	1.00	10.00	0.00	25.00	0.00	9.00	13.01	0.00	1.00	4.00	1.00	11.00	0.00	16.00	3.04	6.00	3.99
aten_0.1.m1.19969.m1	0.00	0.00	0.00	0.00	63.00	6.00	1.00	8.00	22.00	29.00	1.00	0.00	40.00	1.00	1.00	0.00	2.00	0.00	0.00	1.00	0.00	0.00
aten_0.1.m1.19127.m1	6.00	6.12	3.01	0.00	8.82	9.14	9.57	0.00	0.00	0.00	23.01	11.97	1.01	4.60	22.80	0.96	1.99	0.00	0.00	1.00	3.87	0.00
aten_0.1.m1.20250.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.1974.m1	30.00	34.00	57.00	3.00	66.00	27.00	51.00	21.00	45.00	0.00	47.00	32.00	7.00	19.00	1.00	3.00	16.00	7.00	21.00	10.00	13.00	0.00
aten_0.1.m1.29437.m1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.20099.m1	387.35	230.11	450.98	87.77	614.38	238.20	522.99	80.85	511.21	40.90	364.99	529.13	57.86	338.64	131.34	115.76	345.57	31.06	187.05	135.43	203.76	45.60
aten_0.1.m1.10169.m1	45.00	23.00	52.00	23.00	26.00	28.00	50.00	21.00	43.00	9.00	17.00	63.00	43.00	50.00	38.00	17.00	18.00	12.00	23.00	35.00	6.00	10.00
aten_0.1.m1.13134.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	0.00	0.00	0.00
aten_0.1.m1.21127.m1	5756.56	787.77	447.41	5.00	67.83	186.26	741.05	275.37	320.03	36.94	1019.02	1481.78	350.25	778.67	65.10	7.24	70.41	96.43	5977.75	61.39	930.70	12.19
aten_0.1.m1.4235.m1	51.11	3.44	117.54	8.33	104.40	8.37	79.78	0.00	86.74	7.84	50.14	55.74	2.45	90.98	1.22	22.20	20.86	4.00	47.35	23.06	65.01	6.42
aten_0.1.m1.15591.m1	0.00	0.00	0.00	0.00	6.00	0.00	0.00	1.00	0.00	0.00	0.00	5.00	0.00	7.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.13319.m1	173.00	136.00	321.00	114.00	276.00	214.00	360.00	69.00	357.00	90.00	225.00	310.86	89.00	231.19	155.00	76.00	161.00	54.00	88.08	112.00	94.00	91.00
aten_0.1.m1.4454.m1	357.00	314.00	382.00	98.00	478.00	486.00	453.00	134.00	427.00	104.00	396.00	270.00	64.00	260.00	116.00	319.00	317.00	114.00	268.00	214.00	176.00	84.94
aten_0.1.m1.21799.m1	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	9.00	0.00	0.00	0.00	2.00	0.00	0.00	2.77	0.00	0.00	0.00	5.00	0.00
aten_0.1.m1.31904.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.30184.m1	1.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.17636.m1	73.38	14.80	73.02	45.35	129.27	56.07	104.18	7.40	151.34	61.59	86.52	117.78	17.79	173.82	106.46	82.67	134.81	123.84	61.79	49.17	38.37	80.00
aten_0.1.m1.34190.m1	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	2.00	1.00	0.00	7.00	0.00	1.00	1.00	1.00	2.00	0.00	0.00	3.00	1.00	0.00
aten_0.1.m1.14010.m1	18.00	5.00	40.00	3.00	55.00	16.00	64.00	3.00	44.00	2.00	37.00	54.15	4.00	36.00	8.00	5.00	38.00	2.00	23.00	3.00	15.00	1.00
aten_0.1.m1.24113.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.21689.m1	9.77	10.23	31.30	3.82	40.82	20.03	52.88	5.74	19.80	0.00	36.28	44.46	1.13	35.65	7.48	3.31	41.89	2.77	7.39	3.13	16.93	0.00
aten_0.1.m1.22454.m1	13.06	0.00	0.00	0.00	0.00	0.00	8.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.02	0.00
aten_0.1.m1.20748.m1	66.05	215.00	97.00	113.00	139.00	603.00	185.00	253.00	179.00	175.00	96.00	104.00	199.00	77.00	389.00	232.00	73.00	188.00	52.00	240.00	57.00	320.00
aten_0.1.m1.6616.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00
aten_0.1.m1.32038.m1	18.80	42.09	20.09	14.85	71.64	82.33	58.98	27.24	37.50	13.95	34.86	75.95	11.71	34.37	100.68	33.75	33.02	8.61	26.32	36.06	19.62	36.53
aten_0.1.m1.20951.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.17100.m1	247.00	90.00	339.00	79.00	535.00	320.00	517.00	90.00	292.00	42.00	312.00	337.00	155.00	245.00	165.00	78.00	205.00	64.00	226.00	88.00	178.00	64.00
aten_0.1.m1.27007.m1	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.6865.m1	3766.94	997.89	3328.35	97.65	5109.99	877.66	11042.67	267.07	5849.63	802.00	4125.11	2361.32	393.01	5233.41	233.99	769.48	7976.93	1072.86	3954.61	824.49	6881.33	822.74
aten_0.1.m1.27760.m1	126.00	21.00	171.00	4.00	280.00	30.00	223.00	19.00	151.00	0.00	155.00	120.00	3.00	107.00	13.00	5.00	88.00	6.00	108.00	8.00	59.00	6.00
aten_0.1.m1.257.m1	262.16	14.99	409.77	9.00	601.74	77.26	1032.27	36.43	289.24	24.11	53.05	57.25	43.64	50.55	25.50	7.61	39.28	18.10	20.75	21.59	53.16	8.58
aten_0.1.m1.16460.m1	1.95	0.00	1.00	0.00	8.00	1.00	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.75	1.00
aten_0.1.m1.16405.m1	17.00	11.00	12.00	5.00	57.00	13.00	26.00	9.00	34.00	3.00	23.00	18.00	11.00	17.00	25.00	5.00	13.00	10.00	13.00	7.00	13.00	9.00
aten_0.1.m1.4527.m1	138.79	24.56	271.38	115.12	1417.48	259.12	31.04	102.51	235.93	146.60	197.66	1992.20	905.98	346.77	605.04	89.30	166.07	60.77	451.92	220.08	18.46	31.36
aten_0.1.m1.29804.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.25282.m1	109.00	33.00	168.00	6.00	242.00	65.00	232.00	9.00	216.00	5.00	145.00	176.00	12.00	164.00	23.00	24.00	118.00	8.00	85.00	46.00	61.00	16.00
aten_0.1.m1.24763.m1	267.00	113.17	547.10	87.00	738.39	285.00	621.46	81.00	437.03	107.00	562.09	481.05	186.35	433.97	254.33	267.00	201.11	73.06	331.98	203.00	252.05	79.01
aten_0.1.m1.20905.m1	1.00	0.00	16.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.21253.m1	95.00	82.00	101.00	5.00	147.00	159.00	113.00	125.00	104.00	47.00	89.00	183.00	95.00	89.00	87.00	15.00	58.00	12.00	26.00	33.00	18.00	18.00
aten_0.1.m1.10806.m1	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	4.00	0.00	0.00	0.00	2.00	0.00	0.00
aten_0.1.m1.7447.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.22547.m1	1.47	3.35	16.52	1.00	6.02	3.58	3.65	9.95	1.98	8.97	4.01	3.41	3.02	2.00	2.00	1.00	3.97	7.79	3.00	4.50	1.17	4.00
aten_0.1.m1.17599.m1	1.00	2.00	9.72	0.00	3.01	0.00	10.64	0.00	9.78	1.00	3.00	3.00	2.00	18.73	12.24	1.00	6.73	0.00	2.00	0.00	5.00	3.00
aten_0.1.m1.24866.m1	84.00	8.00	122.00	9.00	148.00	19.00	164.00	7.00	82.00	12.00	90.00	101.00	17.00	146.00	15.00	30.00	68.00	13.00	87.00	14.00	67.00	12.00
aten_0.1.m1.7379.m1	65.00	133.00	130.00	60.00	199.00	528.00	151.00	118.00	117.00	53.00	117.00	212.00	96.00	147.00	176.00	105.00	109.00	51.00	52.00	50.00	64.00	82.00
aten_0.1.m1.29396.m1	811.00	1144.00	942.00	597.00	1225.00	1409.00	790.00	796.00	760.00	428.00	688.00	1014.00	553.00	849.00	717.00	871.00	620.00	504.00	466.00	862.00	446.00	783.00
aten_0.1.m1.27226.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.20446.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	73.00	6.00	3.00	9.00	5.00	0.00	1.00	0.00	0.00	0.00	7.00	4.00
aten_0.1.m1.27732.m1	2.00	0.00	1.56	5.43	0.00	0.00	6.17	1.04	1.33	0.00	8.00	4.26	3.09	2.26	0.00	5.45	1.58	0.00	8.80	8.92	8.23	6.23
aten_0.1.m1.8338.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.4705.m1	2.00	8.18	4.08	0.00	4.13	1.50	8.00	2.05	0.00	0.00	1.98	11.14	0.00	2.03	1.00	0.00	1.00	0.00	11.00	2.00	10.70	1.01
aten_0.1.m1.31960.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.6871.m1	8.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.29703.m1	18.00	2.00	17.00	0.00	59.00	7.00	6.00	0.00	9.00	0.00	29.00	41.00	0.00	16.00	2.00	0.00	11.00	0.00	3.00	0.00	8.00	0.00
aten_0.1.m1.15265.m1	61.56	40.85	65.81	18.00	87.03	29.84	84.17	14.52	61.77	7.00	48.45	87.72	14.00	60.90	20.00	20.00	55.78	13.94	32.52	25.99	38.96	15.00
aten_0.1.m1.4380.m1	540.00	395.00	582.00	255.00	927.00	676.00	1068.00	245.00	631.00	194.00	933.00	812.00	309.00	590.00	296.00	407.00	528.00	220.00	759.00	491.00	700.00	246.00
aten_0.1.m1.27556.m1	7.57	0.00	1.00	1.64	0.00	0.00	6.23	0.00	1.00	0.00	8.48	2.05	0.00	0.00	0.00	0.00	3.32	0.00	0.00	0.00	24.72	2.10
aten_0.1.m1.33911.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.31771.m1	0.00	0.00	0.00	0.00	2.64	0.00	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	3.45	0.00	2.79	0.00	0.00	0.00	1.39	1.00
aten_0.1.m1.15828.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.30642.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.30506.m1	4.08	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00	8.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.14799.m1	641.00	605.00	694.00	75.00	1254.00	727.00	1853.00	291.00	875.00	105.00	937.00	730.00	225.00	664.00	297.00	337.00	624.00	332.00	739.00	179.00	631.00	192.00
aten_0.1.m1.37123.m1	0.00	0.00	1.00	0.00	0.00	0.00	19.20	0.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.31319.m1	6.00	1.00	1.00	0.00	20.00	24.00	0.00	5.00	3.00	0.00	3.00	20.00	0.00	4.00	3.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00
aten_0.1.m1.17292.m1	4.35	78.77	64.19	224.94	80.08	292.01	13.75	114.23	51.40	604.59	39.77	120.73	461.42	44.54	1383.56	32.91	100.84	691.30	70.94	532.93	13.79	1533.13
aten_0.1.m1.29238.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.1821.m1	73.00	51.00	147.00	61.00	129.00	204.00	195.00	35.00	155.00	50.00	109.00	46.00	43.00	97.00	133.00	86.00	78.00	96.00	69.00	86.00	84.00	120.00
aten_0.1.m1.3437.m1	38.00	54.00	58.00	6.00	75.00	25.00	41.00	3.00	42.00	4.00	61.00	39.00	8.00	30.00	6.00	87.00	18.00	5.00	37.00	51.00	26.00	20.00
aten_0.1.m1.1426.m1	55.00	2.00	76.00	2.00	110.00	7.00	69.00	2.00	61.00	3.00	19.00	46.00	2.00	70.00	4.00	13.00	25.00	0.00	25.00	23.00	11.00	2.00
aten_0.1.m1.24891.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.10150.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.36312.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.5416.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.18590.m1	0.00	0.00	0.00	3.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.8635.m1	1015.00	380.00	759.00	163.00	1368.00	705.00	1497.00	262.00	648.00	164.00	1182.00	688.00	314.00	620.00	190.00	390.00	643.00	228.00	1501.00	437.00	1321.00	176.00
aten_0.1.m1.5741.m1	138.00	546.00	269.00	983.00	553.00	1665.00	258.00	463.00	179.00	317.00	114.00	717.00	674.00	351.00	1402.00	1534.00	144.00	257.00	110.00	271.00	262.00	587.00
aten_0.1.m1.24343.m1	31.00	42.00	53.00	32.00	0.00	0.00	127.00	16.00	37.00	83.00	90.00	0.00	0.00	0.00	0.00	67.00	48.00	159.00	9.00	79.00	58.00	64.00
aten_0.1.m1.4386.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.32215.m1	70.00	9.00	226.00	8.00	259.00	40.00	324.00	14.00	212.00	7.00	125.00	335.00	30.00	118.00	21.00	9.00	106.00	7.00	84.00	36.00	101.00	2.00
aten_0.1.m1.27830.m1	7.00	0.00	3.00	0.00	5.00	0.00	5.00	0.00	2.00	1.00	4.00	16.00	0.00	3.00	0.00	0.00	6.00	0.00	5.00	0.00	2.00	0.00
aten_0.1.m1.27451.m1	726.20	326.30	718.34	134.94	1119.43	713.22	1066.70	238.34	751.70	184.57	461.65	626.56	377.29	517.04	371.72	230.12	395.25	430.38	424.95	255.73	246.50	299.00
aten_0.1.m1.15548.m1	27.00	3.00	53.00	4.00	47.00	10.00	58.00	0.00	41.00	5.00	38.00	29.00	0.00	33.00	9.00	20.00	37.00	4.00	21.00	20.00	7.00	2.00
aten_0.1.m1.9164.m1	1.00	0.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
aten_0.1.m1.21304.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.36511.m1	195.50	42.88	40.50	3.73	111.87	40.10	110.79	7.00	46.24	5.00	168.91	247.36	29.57	118.04	23.00	52.13	74.51	4.00	87.59	73.54	65.81	4.00
aten_0.1.m1.14099.m1	4.90	2.30	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	6.97	0.00	0.00	0.00
aten_0.1.m1.12056.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.1557.m1	0.00	0.00	3.02	8.00	16.31	24.44	10.17	2.04	14.32	2.04	4.03	6.15	10.14	10.26	5.14	3.30	2.05	3.04	2.07	1.08	0.00	3.04
aten_0.1.m1.5406.m1	4.00	0.00	7.45	0.00	5.04	1.61	12.91	1.90	8.99	0.00	2.64	5.13	0.00	2.18	2.09	2.01	0.42	0.00	2.71	1.93	0.00	0.00
aten_0.1.m1.26926.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.7286.m1	74.00	23.00	133.00	12.00	129.00	23.00	129.00	15.00	128.00	3.00	109.00	116.00	14.00	95.00	26.00	17.00	94.00	5.00	50.00	40.00	77.00	16.00
aten_0.1.m1.830.m1	764.00	284.00	805.00	115.00	1032.00	695.00	751.00	160.00	669.00	84.00	572.00	636.00	211.00	499.00	329.00	156.00	318.00	116.00	479.00	344.00	215.00	149.00
aten_0.1.m1.9564.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.8977.m1	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.5146.m1	59.00	41.00	41.00	6.00	56.00	36.00	44.00	14.00	51.00	10.00	68.00	48.00	18.00	27.00	8.00	15.00	27.00	12.00	92.00	29.00	37.00	10.00
aten_0.1.m1.34581.m1	1477.07	994.78	1958.32	440.58	2436.28	1749.06	2715.93	999.26	1382.24	447.05	1626.75	1498.80	1165.47	1110.45	1268.10	928.22	1122.28	572.26	1314.74	831.99	1459.50	726.02
aten_0.1.m1.33634.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.14423.m1	170.98	2.03	188.46	7.21	212.19	9.55	279.25	4.56	90.97	2.00	56.00	56.06	1.00	119.99	7.00	23.14	50.76	1.80	99.69	42.91	77.96	0.00
aten_0.1.m1.13018.m1	2.34	0.00	0.00	0.00	0.00	0.00	1.20	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	2.54	0.00	0.00	0.00	0.00	2.00	0.00
aten_0.1.m1.7774.m1	4012.00	1373.00	3655.00	423.00	6785.00	2418.00	5972.00	994.00	3510.00	610.00	5978.00	3364.00	1302.81	3122.00	922.00	1207.00	2045.08	658.00	5057.00	1371.00	2584.00	597.00
aten_0.1.m1.36783.m1	119.00	22.00	191.00	3.00	407.00	144.00	287.00	18.00	118.00	8.00	196.00	198.00	11.00	158.00	36.00	16.00	114.00	16.00	141.00	68.00	84.00	19.00
aten_0.1.m1.28270.m1	121.15	127.90	223.00	44.00	298.43	333.94	252.35	80.89	171.45	52.21	199.51	204.54	87.00	132.30	139.00	109.00	124.62	53.00	152.59	92.01	140.87	106.76
aten_0.1.m1.26443.m1	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	1.00	0.00	0.00	0.00	5.00	1.00	0.00	0.00	0.00	0.00	2.00
aten_0.1.m1.2879.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.6480.m1	39.53	13.11	31.09	0.00	80.71	52.04	29.52	15.02	17.68	2.00	46.39	303.12	54.47	163.66	45.53	14.03	14.80	0.00	33.27	5.40	10.13	12.27
aten_0.1.m1.9545.m1	0.00	0.00	6.00	0.00	0.00	0.00	20.00	0.00	9.00	0.00	0.00	0.00	0.00	2.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	1.00
aten_0.1.m1.6328.m1	0.00	0.00	0.00	0.00	4.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.16856.m1	2.00	2.00	1.18	0.00	29.81	1.94	0.00	0.00	11.98	0.00	7.71	6.48	0.00	13.90	7.52	0.00	0.55	0.00	5.17	2.00	0.00	1.00
aten_0.1.m1.14442.m1	324.00	173.00	546.00	13.00	791.00	483.00	531.00	51.00	454.00	22.00	441.00	499.00	90.00	399.00	123.00	156.00	305.00	49.00	151.00	140.00	112.00	45.00
aten_0.1.m1.10703.m1	101.00	58.00	140.00	68.00	211.00	213.00	152.00	137.00	106.00	38.00	164.00	125.00	92.00	109.00	104.00	68.00	98.00	32.00	140.00	192.00	114.00	49.00
aten_0.1.m1.21177.m1	22.59	1.00	20.00	0.00	37.95	12.97	83.14	1.96	31.97	0.00	17.64	25.81	0.00	39.89	6.00	10.47	2.01	4.77	10.55	2.00	45.00	28.02
aten_0.1.m1.2943.m1	24.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	8.58	2.48	0.00	0.00	2.96	11.11	2.05	2.29	7.00	0.00	0.00
aten_0.1.m1.15525.m1	55.00	2.00	113.00	0.00	122.00	7.00	146.00	2.00	175.00	8.00	73.00	286.00	6.00	231.00	8.00	46.00	38.00	1.00	31.00	58.00	22.00	2.00
aten_0.1.m1.16799.m1	31.00	2.00	22.00	2.00	39.00	6.00	2.00	0.00	8.00	3.00	0.00	7.00	0.00	0.00	0.00	5.00	9.00	0.00	25.00	9.00	1.00	1.00
aten_0.1.m1.3934.m1	46.00	5.00	44.98	3.00	55.05	7.00	85.09	7.00	49.00	8.00	41.00	41.00	3.00	40.95	5.00	9.08	31.00	5.00	32.02	5.00	62.01	3.00
aten_0.1.m1.11582.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.3501.m1	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00
aten_0.1.m1.31108.m1	101.00	262.00	122.00	185.00	226.00	315.00	299.00	113.00	259.00	146.00	318.00	263.00	50.00	167.00	61.00	86.00	445.00	202.00	194.00	435.00	339.00	113.00
aten_0.1.m1.7442.m1	1033.00	412.00	1294.00	214.00	1922.00	879.00	1420.00	416.00	1062.00	167.00	1134.00	1298.00	341.00	1017.00	491.00	261.00	640.00	158.00	1034.00	494.00	562.00	190.00
aten_0.1.m1.3555.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.9984.m1	68.00	23.00	76.00	10.00	128.00	50.00	135.00	31.00	66.00	10.00	118.00	111.00	37.00	35.00	6.00	16.00	36.00	6.00	60.00	17.00	48.00	3.00
aten_0.1.m1.5699.m1	33.00	5.00	31.00	3.00	68.00	19.00	49.00	2.00	19.00	1.00	34.00	24.00	3.00	25.00	2.00	6.00	19.00	2.00	23.00	7.00	25.00	7.00
aten_0.1.m1.16603.m1	1137.00	378.00	1670.00	75.00	1739.00	886.00	1303.00	204.00	1166.00	84.00	847.00	688.00	159.00	709.00	202.00	203.00	563.00	106.00	547.00	448.00	280.00	62.00
aten_0.1.m1.16374.m1	106.00	109.00	173.00	75.00	369.00	309.00	307.00	136.00	227.00	65.00	281.00	278.00	140.00	212.00	197.00	149.00	217.00	62.00	181.00	95.00	151.00	147.00
aten_0.1.m1.14747.m1	68.39	25.40	81.02	26.41	143.63	53.74	40.82	17.15	73.53	10.71	30.26	43.35	15.24	22.00	11.07	17.90	39.75	23.36	14.38	20.66	24.42	57.65
